antibiotic,water_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoxicillin,Influent,4.600,3.270,1.580,0.700,0.586,0.333,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amoxicillin,Effluent,5.580,1.600,1.400,1.240,0.900,0.484,0.098,0.095,0.037,0.034,0.014,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampicillin,Influent,3920.430,283.080,1.020,0.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampicillin,Effluent,195.830,25.980,0.600,0.231,0.169,0.151,0.140,0.128,0.124,0.088,0.032,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azithromycin,Influent,22.730,9.700,6.810,6.410,6.370,6.310,6.270,6.210,6.150,6.130,6.070,5.920,5.820,5.680,5.680,5.240,3.030,2.858,1.800,1.010,0.865,0.770,0.721,0.545,0.435,0.410,0.391,0.386,0.376,0.356,0.350,0.324,0.320,0.171,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.156,0.150,0.149,0.146,0.110,0.070,0.067,0.063,0.043,0.028,0.013,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azithromycin,Effluent,4.660,4.570,4.120,4.100,4.090,4.080,4.000,3.950,3.910,3.800,3.680,3.570,3.550,3.020,1.815,1.577,1.496,1.300,1.200,1.060,0.919,0.890,0.813,0.740,0.704,0.665,0.660,0.651,0.651,0.635,0.634,0.620,0.557,0.541,0.529,0.529,0.529,0.523,0.463,0.397,0.390,0.383,0.368,0.347,0.326,0.320,0.292,0.282,0.278,0.277,0.268,0.258,0.246,0.244,0.233,0.231,0.229,0.228,0.221,0.219,0.212,0.209,0.200,0.198,0.198,0.196,0.196,0.189,0.188,0.187,0.186,0.176,0.175,0.170,0.167,0.167,0.164,0.164,0.161,0.161,0.153,0.153,0.153,0.151,0.150,0.149,0.149,0.149,0.147,0.145,0.145,0.141,0.138,0.137,0.134,0.134,0.134,0.134,0.133,0.127,0.116,0.115,0.115,0.113,0.113,0.113,0.113,0.112,0.111,0.108,0.106,0.105,0.104,0.104,0.098,0.089,0.089,0.087,0.085,0.083,0.083,0.083,0.073,0.072,0.072,0.072,0.064,0.061,0.058,0.058,0.054,0.051,0.051,0.049,0.045,0.043,0.043,0.043,0.041,0.035,0.035,0.032,0.028,0.026,0.020,0.015,0.015,0.015,0.015,0.014,0.011,0.010,0.008,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cefotaxime,Influent,0.234,0.035,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cefotaxime,Effluent,0.046,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarithromycin,Influent,10.491,2.827,2.750,0.950,0.673,0.568,0.536,0.530,0.470,0.430,0.422,0.390,0.380,0.321,0.310,0.300,0.270,0.244,0.240,0.240,0.210,0.200,0.170,0.140,0.140,0.120,0.100,0.100,0.086,0.082,0.080,0.065,0.040,0.040,0.040,0.037,0.036,0.021,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarithromycin,Effluent,1.774,1.300,0.684,0.508,0.430,0.410,0.400,0.400,0.370,0.347,0.338,0.324,0.304,0.300,0.289,0.280,0.274,0.274,0.270,0.266,0.264,0.260,0.258,0.247,0.238,0.225,0.220,0.220,0.216,0.208,0.204,0.199,0.197,0.194,0.192,0.190,0.189,0.186,0.186,0.177,0.177,0.170,0.169,0.169,0.165,0.165,0.164,0.160,0.160,0.157,0.154,0.153,0.151,0.149,0.148,0.146,0.145,0.142,0.135,0.135,0.134,0.133,0.129,0.127,0.124,0.120,0.120,0.111,0.102,0.097,0.090,0.089,0.087,0.080,0.080,0.080,0.079,0.071,0.071,0.070,0.070,0.068,0.067,0.065,0.062,0.060,0.053,0.052,0.048,0.046,0.040,0.037,0.032,0.031,0.030,0.030,0.030,0.029,0.029,0.028,0.028,0.028,0.028,0.025,0.025,0.025,0.025,0.023,0.021,0.013,0.010,0.008,0.005,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloramphenicol,Effluent,0.021,0.020,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciprofloxacin,Influent,10.000,9.170,7.190,3.350,3.000,2.740,2.560,2.140,2.090,1.910,1.690,1.600,1.490,1.370,1.040,1.030,1.028,0.937,0.920,0.900,0.863,0.860,0.830,0.800,0.796,0.770,0.740,0.706,0.490,0.400,0.385,0.250,0.121,0.119,0.059,0.052,0.047,0.007,0.005,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciprofloxacin,Effluent,26.400,14.000,5.300,2.600,1.800,1.436,1.183,1.070,0.957,0.935,0.897,0.874,0.840,0.820,0.820,0.770,0.760,0.709,0.690,0.690,0.680,0.670,0.650,0.645,0.632,0.624,0.588,0.580,0.574,0.543,0.530,0.523,0.522,0.487,0.483,0.458,0.450,0.449,0.439,0.423,0.408,0.405,0.400,0.396,0.393,0.386,0.373,0.370,0.370,0.346,0.343,0.331,0.328,0.323,0.323,0.318,0.315,0.310,0.309,0.304,0.300,0.295,0.293,0.288,0.287,0.277,0.272,0.266,0.258,0.249,0.246,0.242,0.240,0.230,0.230,0.229,0.225,0.223,0.220,0.210,0.210,0.206,0.205,0.205,0.201,0.187,0.186,0.184,0.175,0.174,0.172,0.161,0.160,0.159,0.158,0.156,0.155,0.150,0.148,0.139,0.139,0.139,0.136,0.135,0.134,0.134,0.127,0.109,0.108,0.106,0.106,0.103,0.103,0.103,0.100,0.097,0.097,0.096,0.096,0.094,0.094,0.090,0.089,0.088,0.088,0.085,0.085,0.083,0.080,0.080,0.078,0.075,0.074,0.072,0.070,0.069,0.067,0.064,0.064,0.060,0.060,0.055,0.049,0.049,0.046,0.046,0.043,0.038,0.038,0.038,0.038,0.038,0.036,0.036,0.031,0.031,0.031,0.015,0.013,0.013,0.007,0.005,0.004,0.004,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,
Doxycycline,Influent,135.000,135.000,4.490,2.700,0.400,0.160,0.160,0.160,0.140,0.133,0.110,0.110,0.100,0.090,0.090,0.090,0.080,0.070,0.070,0.060,0.038,0.013,0.008,0.001,0.001,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doxycycline,Effluent,5.280,1.500,0.700,0.500,0.400,0.130,0.090,0.080,0.080,0.070,0.070,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.035,0.012,0.008,0.006,0.005,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrofloxacin,Influent,0.544,0.037,0.008,0.002,0.002,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrofloxacin,Effluent,0.176,0.142,0.142,0.135,0.126,0.124,0.111,0.100,0.073,0.030,0.027,0.023,0.018,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythromycin,Influent,23.100,4.100,0.951,0.785,0.730,0.259,0.160,0.130,0.100,0.093,0.090,0.080,0.060,0.060,0.050,0.050,0.040,0.040,0.040,0.030,0.030,0.030,0.030,0.030,0.020,0.020,0.008,0.007,0.005,0.001,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythromycin,Effluent,5.430,0.707,0.541,0.392,0.350,0.221,0.194,0.156,0.148,0.127,0.113,0.078,0.071,0.070,0.070,0.060,0.060,0.056,0.051,0.050,0.050,0.050,0.050,0.042,0.040,0.040,0.040,0.030,0.030,0.030,0.020,0.020,0.020,0.020,0.016,0.013,0.011,0.010,0.008,0.008,0.007,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
